gid	n_mu	mid	sids	n_mu_p	fam	fam_size	fam_idx	fam_idx_size	tf	gid_W22	map_type	ttype	impact	eff
Zm00001d000184	6	mu1009472|mu1016514|mu1025109|mu1040157|mu1054648|mu1054649	UFMu-00357|UFMu-02125|UFMu-02125|UFMu-04186|UFMu-06922|UFMu-06922	>=3	MYB_related	109	1	1/109	TRUE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000195	1	mu1048874	UFMu-06497	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	high	splice_donor_variant
Zm00001d000197	1	mu1048873	UFMu-06512	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	disruptive_inframe_deletion
Zm00001d000199	3	mu1030634|mu1039245|mu1039246	UFMu-02693|UFMu-03865|UFMu-03204	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	low	synonymous_variant
Zm00001d000202	2	mu1031172|mu1067554	UFMu-02834,UFMu-03200|UFMu-08771	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	no_change	NA
Zm00001d000205	2	mu1033401|mu1058264	UFMu-03624,UFMu-05858|UFMu-07245	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000213	1	mu1093924	UFMu-11612	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	modifier	intron_variant
Zm00001d000220	2	mu1030251|mu1035071	UFMu-02559|UFMu-03349	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000223	2	mu1052682|mu1056139	UFMu-06546|UFMu-07387	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000226	4	mu1016206|mu1062106|mu1062107|mu1084123	UFMu-01890|UFMu-08336,UFMu-09019,UFMu-11278|UFMu-08336|UFMu-10343	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	5_prime_UTR_variant
Zm00001d000230	4	mu1050622|mu1050622|mu1058430|mu1075811	UFMu-06266|UFMu-10568|UFMu-07863|UFMu-08917	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000233	1	mu1088622	UFMu-13498	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000293	1	mu1057777	UFMu-07437	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000294	1	mu1036033	UFMu-03077,UFMu-07380	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000299	1	mu1067293	UFMu-08317	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000301	2	mu1022985|mu1056599	UFMu-02232,UFMu-06802|UFMu-07472	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000307	3	mu1034494|mu1082446|mu1091324	UFMu-03510,UFMu-04986|UFMu-09509|UFMu-13063	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000310	2	mu1039308|mu1045578	UFMu-03228,UFMu-06570|UFMu-05837	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000311	2	mu1033312|mu1045579	UFMu-02628|UFMu-05616	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000312	2	mu1024132|mu1050871	UFMu-06498|UFMu-06518	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000316	1	mu1041117	UFMu-04383	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000320	7	mu1015890|mu1022801|mu1039599|mu1049250|mu1049250|mu1075621|mu1080247	UFMu-02265|UFMu-02265,UFMu-02682|UFMu-02631,UFMu-03234|UFMu-06512|UFMu-10975|UFMu-05693|UFMu-00767	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000328	3	mu1013675|mu1051415|mu1066043	UFMu-01531|UFMu-06266|UFMu-08619	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000345	4	mu1042659|mu1074435|mu1092369|mu1092370	UFMu-05282|UFMu-03733,UFMu-05693,UFMu-10403|UFMu-11720|UFMu-12081,UFMu-12534	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000346	1	mu1045126	UFMu-05547	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000350	1	mu1037702	UFMu-03734	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	modifier	intron_variant
Zm00001d000357	1	mu1061211	UFMu-07907	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000358	2	mu1092558|mu1095208	UFMu-13720|UFMu-11173	2	ARF	36	1	1/36	TRUE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000360	2	mu1042595|mu1060588	UFMu-04900|UFMu-07955	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000361	5	mu1068131|mu1068132|mu1069717|mu1085070|mu1085070	UFMu-08588,UFMu-09028,UFMu-10960,UFMu-11265|UFMu-08265|UFMu-08736|UFMu-10188|UFMu-12455	>=3	MYB	163	1	1/163	TRUE	NA	NA	mRNA	low	splice_region_variant
Zm00001d000370	1	mu1056327	UFMu-07322	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000377	3	mu1040888|mu1059271|mu1059272	UFMu-04454|UFMu-07825|UFMu-08145	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000380	7	mu1030162|mu1043218|mu1050257|mu1059734|mu1083478|mu1083479|mu1084810	UFMu-03036,UFMu-05717,UFMu-06322|UFMu-04933|UFMu-06322|UFMu-08203|UFMu-10407|UFMu-10563|UFMu-10384	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000381	4	mu1048020|mu1048021|mu1083477|mu1091106	UFMu-06119,UFMu-10102|UFMu-06265|UFMu-10102|UFMu-11306	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000390	1	mu1040188	UFMu-03800	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000391	2	mu1049898|mu1078861	UFMu-05977|UFMu-09283	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000396	2	mu1022233|mu1057769	UFMu-01867|UFMu-07315	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	no_change	NA
Zm00001d000402	1	mu1053308	UFMu-06714	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000408	5	mu1017576|mu1021497|mu1030834|mu1085316|mu1085316	UFMu-00800|UFMu-01280|UFMu-02667,UFMu-03191,UFMu-05547|UFMu-10324|UFMu-11658	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000410	1	mu1066821	UFMu-08292	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000411	1	mu1052626	UFMu-06547,UFMu-07293	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000424	7	mu1030726|mu1031059|mu1031059|mu1035414|mu1060528|mu1086862|mu1092441	UFMu-02634|UFMu-02537|UFMu-05983|UFMu-03291|UFMu-08014|UFMu-10620|UFMu-11337	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000428	2	mu1054622|mu1093622	UFMu-06963|UFMu-13648	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000430	3	mu1040128|mu1058054|mu1075677	UFMu-03877,UFMu-04826,UFMu-06332|UFMu-07189|UFMu-05837	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000432	1	mu1037257	UFMu-03700	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	no_change	NA
Zm00001d000436	5	mu1007772|mu1032197|mu1054078|mu1054079|mu1060693	UFMu-00017|UFMu-02662|UFMu-06847|UFMu-06953|UFMu-08030	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000439	3	mu1023862|mu1023862|mu1066409	UFMu-00907,UFMu-05329|UFMu-12400|UFMu-08802	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	modifier	intron_variant
Zm00001d000443	6	mu1020113|mu1043679|mu1043680|mu1043680|mu1059070|mu1089804	UFMu-00657|UFMu-04895|UFMu-04895|UFMu-06524,UFMu-07433|UFMu-07804|UFMu-11271	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	no_change	NA
Zm00001d001763	1	mu1017468	UFMu-00644	1	NA	NA	NA	NA	FALSE	Zm00004b005869	One-to-One	mRNA	low	synonymous_variant
Zm00001d001766	1	mu1031892	UFMu-02691	1	NA	NA	NA	NA	FALSE	Zm00004b005871	One-to-One	mRNA	no_change	NA
Zm00001d001767	1	mu1008405	UFMu-00215	1	NA	NA	NA	NA	FALSE	Zm00004b005872	One-to-One	mRNA	high	start_lost
Zm00001d001776	1	mu1047492	UFMu-06438	1	NA	NA	NA	NA	FALSE	Zm00004b005880	One-to-One	mRNA	no_change	NA
Zm00001d001780	7	mu1014237|mu1028557|mu1035103|mu1047511|mu1051148|mu1076816|mu1079419	UFMu-01129,UFMu-01147,UFMu-01791,UFMu-03665,UFMu-05299|UFMu-01129|UFMu-03291|UFMu-05985|UFMu-05985|UFMu-09142|UFMu-08935	>=3	NA	NA	NA	NA	FALSE	Zm00004b005883	One-to-One	mRNA	high	frameshift_variant
Zm00001d001781	1	mu1038080	UFMu-04172	1	NA	NA	NA	NA	FALSE	Zm00004b005884	One-to-One	mRNA	high	frameshift_variant
Zm00001d001786	5	mu1014271|mu1017888|mu1040949|mu1051144|mu1069301	UFMu-02019|UFMu-01093,UFMu-01444|UFMu-04763|UFMu-06277|UFMu-08567	>=3	NA	NA	NA	NA	FALSE	Zm00004b005887	One-to-One	mRNA	moderate	missense_variant
Zm00001d001787	2	mu1023001|mu1038094	UFMu-01985|UFMu-03449	2	NA	NA	NA	NA	FALSE	Zm00004b005888	One-to-One	mRNA	high	splice_donor_variant
Zm00001d001788	3	mu1026767|mu1038096|mu1056031	UFMu-06671|UFMu-02847|UFMu-07178	>=3	NA	NA	NA	NA	FALSE	Zm00004b005889	One-to-One	mRNA	high	splice_acceptor_variant
Zm00001d001790	1	mu1089737	UFMu-11692	1	NA	NA	NA	NA	FALSE	Zm00004b005891	One-to-One	mRNA	high	splice_donor_variant
Zm00001d001798	2	mu1052205|mu1087690	UFMu-06689|UFMu-10623	2	NA	NA	NA	NA	FALSE	Zm00004b005895	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d001799	3	mu1047128|mu1052210|mu1084616	UFMu-06452|UFMu-06774|UFMu-10378	>=3	NA	NA	NA	NA	FALSE	Zm00004b005896	One-to-One	mRNA	modifier	intron_variant
Zm00001d001802	3	mu1009534|mu1013836|mu1018040	UFMu-01955|UFMu-02431,UFMu-07286|UFMu-00800	>=3	NA	NA	NA	NA	FALSE	Zm00004b005897	One-to-Many	mRNA	moderate	missense_variant
Zm00001d001803	1	mu1040794	UFMu-04306	1	NA	NA	NA	NA	FALSE	Zm00004b005898	One-to-One	mRNA	moderate	missense_variant
Zm00001d001804	3	mu1055707|mu1085833|mu1089787	UFMu-07312|UFMu-10860|UFMu-13930	>=3	NA	NA	NA	NA	FALSE	Zm00004b005899	One-to-One	mRNA	moderate	missense_variant
Zm00001d001806	3	mu1013826|mu1013827|mu1070900	UFMu-01430|UFMu-02306|UFMu-02715	>=3	NA	NA	NA	NA	FALSE	Zm00004b005900	One-to-One	mRNA	moderate	missense_variant
Zm00001d001807	3	mu1013824|mu1013825|mu1013825	UFMu-01716|UFMu-01461|UFMu-05382	>=3	NA	NA	NA	NA	FALSE	Zm00004b005901	One-to-One	mRNA	low	synonymous_variant
Zm00001d001809	1	mu1065514	UFMu-00710	1	NA	NA	NA	NA	FALSE	Zm00004b005904	One-to-One	mRNA	low	synonymous_variant
Zm00001d001813	4	mu1007194|mu1037802|mu1040799|mu1052232	UFMu-00385|UFMu-03287|UFMu-04763|UFMu-06715	>=3	NA	NA	NA	NA	FALSE	Zm00004b005908	One-to-One	mRNA	high	frameshift_variant
Zm00001d001814	2	mu1033052|mu1033052	UFMu-02672,UFMu-08695|UFMu-11151	2	NA	NA	NA	NA	FALSE	Zm00004b005909	One-to-One	mRNA	moderate	missense_variant
Zm00001d001817	1	mu1059082	UFMu-08145	1	NA	NA	NA	NA	FALSE	Zm00004b005911	One-to-One	mRNA	moderate	missense_variant
Zm00001d001818	1	mu1069222	UFMu-08719,UFMu-11297	1	NA	NA	NA	NA	FALSE	Zm00004b005912	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d001819	2	mu1034150|mu1076481	UFMu-03479|UFMu-09139	2	NA	NA	NA	NA	FALSE	Zm00004b005913	One-to-One	mRNA	high	frameshift_variant
Zm00001d001825	11	mu1007160|mu1013886|mu1013886|mu1019942|mu1029018|mu1040809|mu1043665|mu1055736|mu1055736|mu1066445|mu1071708	UFMu-00423|UFMu-00970,UFMu-02201|UFMu-06721|UFMu-00948|UFMu-02507|UFMu-04718|UFMu-05113|UFMu-07332|UFMu-10440|UFMu-08769|UFMu-02201	>=3	NA	NA	NA	NA	FALSE	Zm00004b005917	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d001827	2	mu1059090|mu1089866	UFMu-08171|UFMu-11440	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	high	frameshift_variant
Zm00001d001831	1	mu1047205	UFMu-06138	1	NA	NA	NA	NA	FALSE	Zm00004b005922	One-to-One	mRNA	moderate	missense_variant
Zm00001d001833	1	mu1043656	UFMu-04895	1	NA	NA	NA	NA	FALSE	Zm00004b005924,Zm00004b005926	Many-to-Many	mRNA	moderate	conservative_inframe_deletion
Zm00001d001834	2	mu1043656|mu1059102	UFMu-04895|UFMu-07798	2	NA	NA	NA	NA	FALSE	Zm00004b005925	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d001837	2	mu1033192|mu1059109	UFMu-03234,UFMu-11355|UFMu-07810	2	MYB	163	2	2/163	TRUE	Zm00004b005928	One-to-One	mRNA	low	synonymous_variant
Zm00001d001841	1	mu1089907	UFMu-12975	1	NA	NA	NA	NA	FALSE	Zm00004b005931	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d001842	3	mu1031428|mu1043651|mu1085868	UFMu-02728,UFMu-03092,UFMu-04991|UFMu-05321|UFMu-10889	>=3	NA	NA	NA	NA	FALSE	Zm00004b005932	One-to-One	mRNA	no_change	NA
Zm00001d001843	4	mu1043650|mu1059111|mu1076524|mu1080816	UFMu-04855,UFMu-05526|UFMu-07822|UFMu-09299|UFMu-09463	>=3	NA	NA	NA	NA	FALSE	Zm00004b005933	One-to-One	mRNA	low	synonymous_variant
Zm00001d001844	3	mu1017918|mu1070920|mu1089908	UFMu-01002,UFMu-13053|UFMu-02943|UFMu-12451	>=3	NA	NA	NA	NA	FALSE	Zm00004b005934	One-to-One	mRNA	moderate	missense_variant
Zm00001d001846	8	mu1013917|mu1013917|mu1027626|mu1037852|mu1037852|mu1040824|mu1073644|mu1073645	UFMu-03363,UFMu-09512,UFMu-10684,UFMu-11299|UFMu-06280,UFMu-06919,UFMu-08161|UFMu-02691|UFMu-03397|UFMu-06502|UFMu-04348|UFMu-04617|UFMu-04348	>=3	NA	NA	NA	NA	FALSE	Zm00004b005936	One-to-One	mRNA	moderate	missense_variant
Zm00001d001847	2	mu1040827|mu1044710	UFMu-04399,UFMu-06196|UFMu-05555	2	NA	NA	NA	NA	FALSE	Zm00004b005938	One-to-One	mRNA	moderate	missense_variant
Zm00001d001850	1	mu1044730	UFMu-05764	1	NA	NA	NA	NA	FALSE	Zm00004b005941	One-to-One	mRNA	non-syntenic	frameshift_variant
Zm00001d001858	2	mu1007636|mu1083151	UFMu-00253,UFMu-01155,UFMu-03722,UFMu-05786,UFMu-05970|UFMu-10378	2	NA	NA	NA	NA	FALSE	Zm00004b005951	One-to-One	mRNA	moderate	conservative_inframe_deletion
Zm00001d001859	1	mu1047288	UFMu-06519	1	NA	NA	NA	NA	FALSE	Zm00004b005952	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d001860	1	mu1047292	UFMu-05983	1	NA	NA	NA	NA	FALSE	Zm00004b005953	One-to-One	mRNA	moderate	missense_variant
Zm00001d001861	1	mu1034574	UFMu-03396	1	NA	NA	NA	NA	FALSE	Zm00004b005954	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d001864	5	mu1037924|mu1040855|mu1055853|mu1069251|mu1090060	UFMu-03780|UFMu-04508|UFMu-07317|UFMu-08628|UFMu-11796	>=3	NA	NA	NA	NA	FALSE	Zm00004b005957	One-to-One	mRNA	modifier	intron_variant
Zm00001d001868	1	mu1007478	UFMu-00206	1	NA	NA	NA	NA	FALSE	Zm00004b005959	One-to-One	mRNA	high	frameshift_variant
Zm00001d001869	1	mu1035329	UFMu-03517	1	NA	NA	NA	NA	FALSE	Zm00004b005960	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d001870	4	mu1034603|mu1037936|mu1037936|mu1043581	UFMu-03134|UFMu-02736,UFMu-10575|UFMu-07361|UFMu-04889	>=3	NA	NA	NA	NA	FALSE	Zm00004b005961	One-to-One	mRNA	moderate	missense_variant
Zm00001d001871	1	mu1080859	UFMu-09463	1	NA	NA	NA	NA	FALSE	Zm00004b005962	One-to-One	mRNA	high	frameshift_variant
Zm00001d001877	4	mu1030936|mu1072214|mu1090148|mu1090151	UFMu-02834|UFMu-01984|UFMu-13541|UFMu-13809	>=3	NA	NA	NA	NA	FALSE	Zm00004b005963	One-to-One	mRNA	moderate	missense_variant
Zm00001d001879	2	mu1043557|mu1050551	UFMu-05170|UFMu-06531	2	ARF	36	2	2/36	TRUE	Zm00004b005964	One-to-One	mRNA	low	splice_region_variant
Zm00001d001881	2	mu1025737|mu1044804	UFMu-02693|UFMu-05673	2	NA	NA	NA	NA	FALSE	Zm00004b005966	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d001882	2	mu1037748|mu1072609	UFMu-02549,UFMu-05305|UFMu-03243	2	NA	NA	NA	NA	FALSE	Zm00004b005967	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d001883	2	mu1066633|mu1076694	UFMu-08597|UFMu-09287,UFMu-10574	2	NA	NA	NA	NA	FALSE	Zm00004b005968	One-to-One	mRNA	low	splice_region_variant
Zm00001d001884	3	mu1032204|mu1055918|mu1079388	UFMu-02709|UFMu-07270|UFMu-09287	>=3	NA	NA	NA	NA	FALSE	Zm00004b005969	One-to-One	mRNA	moderate	missense_variant
Zm00001d001887	1	mu1059272	UFMu-08145	1	NA	NA	NA	NA	FALSE	Zm00004b005970	One-to-One	mRNA	non-syntenic	missense_variant
