gid	gid_v3	symbol	note
Zm00001d001928	GRMZM2G070273	kcbp1	kinesin-like calmodulin binding protein1
Zm00001d001929	GRMZM2G070389	pco118092	NA
Zm00001d001931	AC206638.3_FG007	vq12	VQ motif-transcription factor12
Zm00001d001933	GRMZM2G071034	c3h16	C3H-transcription factor 316
Zm00001d001936	GRMZM2G035370	glk16	G2-like-transcription factor 16
Zm00001d001941	GRMZM2G119941	incw4	invertase cell wall4
Zm00001d001943	GRMZM2G018716	incw7	invertase cell wall7
Zm00001d001944	GRMZM2G018692	incw6	invertase cell wall6
Zm00001d001945	GRMZM2G034840	arftf4	ARF-transcription factor 4
Zm00001d001948	GRMZM2G047448	hb67	Homeobox-transcription factor 67
Zm00001d001960	GRMZM2G062396	fht1	flavanone 3-hydroxylase1
Zm00001d001966	GRMZM2G061745	pco082032	NA
Zm00001d001988	GRMZM2G056572	prh16	putative protein phosphatase 2C 16
Zm00001d001990	GRMZM2G391746	GRMZM2G391746	NA
Zm00001d002000	GRMZM2G040095	lox6	lipoxygenase6
Zm00001d002005	GRMZM2G036297	lg1	liguleless1
Zm00001d002006	GRMZM2G019404	mha2	plasma-membrane H+ATPase2
Zm00001d002011	GRMZM2G067463	ereb45	AP2-EREBP-transcription factor 45
Zm00001d002012	GRMZM2G521862	mkaku42	Maize KAKU4-Like2
Zm00001d002020	GRMZM2G059740	GRMZM2G059740	NA
Zm00001d002022	GRMZM2G040017	cax2	calcium exchanger2
Zm00001d002023	GRMZM2G386362	gras35	GRAS-transcription factor 35
Zm00001d002025	GRMZM2G086573	ereb24	NA
Zm00001d002027	GRMZM2G086801	pco066126	NA
Zm00001d002029	GRMZM2G086920	zim32	ZIM-transcription factor 32
Zm00001d002038	GRMZM2G395114	ast91	anti-sigma factor antagonist domain of sulfate transporter91
Zm00001d002054	GRMZM2G177145	pet3	photosynthetic electron transport3
Zm00001d002065	GRMZM2G166281	mir3	maize insect resistance3
Zm00001d002066	GRMZM2G096546	irx15	irregular xylem ortholog15
Zm00001d002075	GRMZM2G174784	ereb197	AP2-EREBP-transcription factor 197
Zm00001d002079	GRMZM2G174917	ereb47	AP2-EREBP-transcription factor 47
Zm00001d002088	GRMZM2G023921	vq13	VQ motif-transcription factor13
Zm00001d002095	GRMZM2G070881	AY109603	NA
Zm00001d002098	GRMZM2G023071	emp12	empty pericarp12
Zm00001d002104	GRMZM2G022192	ami4	amidase4
Zm00001d002121	GRMZM2G072820	ili1	increased leaf inclination1
Zm00001d002122	GRMZM2G072264	TIDP3539	NA
Zm00001d002124	GRMZM2G352359	pme9	pectin methylesterase9
Zm00001d002125	GRMZM2G054225	nrpd2/e2	nuclear RNA polymerase D2/E2
Zm00001d002129	GRMZM2G305007	BE640649	NA
Zm00001d002137	GRMZM5G899080	propep1	precursor elicitor peptide1
Zm00001d002138	GRMZM2G339117	propep3	precursor elicitor peptide3
Zm00001d002143	GRMZM2G131961	bzip27	bZIP-transcription factor 27
Zm00001d002144	GRMZM2G431783	epf2	epidermal patterning factor-like2
Zm00001d002154	GRMZM2G106056	mre11a	meiotic recombination protein 11 homolog A
Zm00001d002156	GRMZM2G106245	sgb101	silencing gene B101
Zm00001d002159	GRMZM2G106413	umc2403	NA
Zm00001d002163	GRMZM2G106578	dgk3	diacylglycerol kinase3
Zm00001d002184	GRMZM2G164400	pza03747	NA
Zm00001d002185	GRMZM2G164400	sdg140	NA
Zm00001d002186	GRMZM2G114861	dv1	divergent spindle1
Zm00001d002190	GRMZM2G121074	sda1	severe depolymerization of actin1
Zm00001d002200	GRMZM2G155217	umc1961	NA
Zm00001d002234	GRMZM2G001289	hb75	Homeobox-transcription factor 75
Zm00001d002246	GRMZM2G091302	pks1	polyketide synthesis homolog1
Zm00001d002257	GRMZM2G076826	atg8c	autophagy8c
Zm00001d002258	GRMZM5G876898	IDP232	NA
Zm00001d002274	GRMZM2G084046	AY112075	NA
Zm00001d002275	GRMZM2G084181	mrpa5	multidrug resistance-associated protein5
Zm00001d002281	GRMZM2G337011	mybr50	MYB-related-transcription factor 50
Zm00001d002285	GRMZM2G156977	nactf22	NAC-transcription factor 22
Zm00001d002288	GRMZM2G080054	bhlh148	bHLH-transcription factor 148
Zm00001d002296	GRMZM2G094255	TIDP3748	NA
Zm00001d002314	GRMZM2G008060	cl44168_1	NA
Zm00001d002315	GRMZM2G007914	IDP2388	NA
Zm00001d002316	GRMZM2G007791	ago2a	argonaute2a
Zm00001d002317	GRMZM2G007453	apo1	accumulation of photosystem one1
Zm00001d002323	GRMZM2G102346	IDP54	NA
Zm00001d002326	GRMZM5G817886	aaa1	adenosylmethionine aminotransferase1
Zm00001d002330	GRMZM2G005310	met5	DNA methyl transferase5
Zm00001d002332	GRMZM2G005155	mads9	MADS-transcription factor 9
Zm00001d002339	GRMZM2G044800	uaz251b(rpS11)	NA
Zm00001d002343	GRMZM2G045849	zip3	zinc-regulated, iron-regulated transporter-like protein3
Zm00001d002345	GRMZM2G345667	pprsmr1	pentatricopeptide repeat smr1
Zm00001d002346	GRMZM2G046070	cad1	cinnamyl alcohol dehydrogenase1
Zm00001d002349	GRMZM2G093603	ks3	kaurene synthase3
Zm00001d002350	GRMZM2G093526	ks2	kaurene synthase2
Zm00001d002351	GRMZM2G049538	tps1	terpene synthase1
Zm00001d002353	GRMZM2G098239	gl2	glossy2
Zm00001d002358	GRMZM5G870342	nec4	necrotic4
Zm00001d002364	GRMZM2G068967	ereb97	AP2-EREBP-transcription factor 97
Zm00001d002386	GRMZM2G040493	TIDP3276	NA
Zm00001d002396	GRMZM2G140328	GRMZM2G140328	NA
Zm00001d002405	GRMZM2G071907	wrky50	WRKY-transcription factor 50
Zm00001d002418	GRMZM2G156638	TIDP3424	NA
Zm00001d002423	GRMZM2G156356	mex1	maltose excess protein1
Zm00001d002424	GRMZM2G156348	thx23	Trihelix-transcription factor 23
Zm00001d002429	GRMZM2G041223	grftf8	GRF-transcription factor 8
Zm00001d002434	GRMZM2G074743	aox3	alternative oxidase3
Zm00001d002436	GRMZM2G125669	aox2	alternative oxidase2
Zm00001d002439	GRMZM2G125704	glk36	G2-like-transcription factor 36
Zm00001d002449	GRMZM2G180190	zfl2	Zea floricaula leafy2
Zm00001d002452	GRMZM2G024898	wrky70	WRKY-transcription factor 70
Zm00001d002454	GRMZM2G463280	IDP445	NA
Zm00001d002457	GRMZM2G162230	IDP1971	NA
Zm00001d002476	GRMZM2G038722	myb13	MYB-transcription factor 13
Zm00001d002482	GRMZM2G014534	mybr36	MYB-related-transcription factor 36
Zm00001d002489	GRMZM2G131280	platz5	PLATZ-transcription factor 5
Zm00001d002490	GRMZM2G090271	cp33b	chloroplast RNA-binding protein33b
Zm00001d002499	GRMZM2G092190	csu425(gct)	NA
Zm00001d002500	GRMZM2G031904	umc1422	NA
Zm00001d002501	GRMZM2G031981	gpm7	NA
Zm00001d002517	GRMZM2G162447	invinh1	invertase inhibitor1
Zm00001d002533	GRMZM2G405064	pyl12	pyrabactin resistance-like protein12
Zm00001d002540	GRMZM2G314396	cdpk5	calcium dependent protein kinase5
Zm00001d002545	GRMZM2G421256	mybr20	MYB-related-transcription factor 20
Zm00001d002553	GRMZM2G303118	AY106040	NA
Zm00001d002557	GRMZM2G430500	GRMZM2G430500	NA
Zm00001d002562	GRMZM2G102059	abi12	ABI3-VP1-transcription factor 12
Zm00001d002564	GRMZM2G050234	GRMZM2G050234	NA
Zm00001d002570	GRMZM2G038851	uce18	ubiquitin-conjugating enzyme18
Zm00001d002572	GRMZM2G341089	uce19	ubiquitin-conjugating enzyme19
Zm00001d002573	GRMZM2G109869	gras52	GRAS-transcription factor 52
Zm00001d002580	GRMZM2G125494	pza02337	NA
Zm00001d002589	GRMZM2G164318	hyd4	hydroxylase4
Zm00001d002592	GRMZM2G164405	acs2	1-aminocyclopropane-1-carboxylate synthase2
Zm00001d002593	GRMZM2G164413	TIDP9198	NA
Zm00001d002594	GRMZM2G164428	ofp7	OVATE-transcription factor 7
Zm00001d002599	GRMZM2G114276	IDP1954	NA
Zm00001d002601	GRMZM2G080274	hon101	histone one (H1) 101
Zm00001d002603	GRMZM2G106921	slac1	slow anion channel-associated1
Zm00001d002611	GRMZM2G175728	IDP712	NA
Zm00001d002618	GRMZM2G042756	ereb105	AP2-EREBP-transcription factor 105
Zm00001d002620	GRMZM2G368838	ereb68	AP2-EREBP-transcription factor 68
Zm00001d002626	GRMZM6G859365	IDP650	NA
Zm00001d002649	GRMZM2G069525	glk37	G2-like-transcription factor 37
Zm00001d002650	GRMZM2G039455	ago1c	argonaute1c
Zm00001d002654	GRMZM2G129261	nkd1	naked endosperm1
Zm00001d002659	GRMZM2G145968	nfd102	nucleosome/chromatin assembly factor D
Zm00001d002661	GRMZM2G057131	shai1	shohai1
Zm00001d002662	GRMZM2G138886	cyc8	cyclin8
Zm00001d002663	GRMZM2G082181	laz9	lazarus ortholog9
Zm00001d002690	GRMZM2G174807	pip1a	plasma membrane intrinsic protein1
Zm00001d002705	GRMZM2G144083	hma5	heavy metal ATPase5
Zm00001d002708	GRMZM2G143512	hma10	heavy metal ATPase10
Zm00001d002718	GRMZM5G825321	gras31	GRAS-transcription factor 31
Zm00001d002723	GRMZM2G370707	mlkg1	Maize LINC KASH Grass-specific1
Zm00001d002726	GRMZM2G162333	pme36	pectin methylesterase36
Zm00001d002731	GRMZM2G170520	mmp33	NA
Zm00001d002734	GRMZM2G132777	nagk1	N-acetylglutamate kinase1
Zm00001d002736	GRMZM2G158657	ccd7	carotenoid cleavage dioxygenase7
Zm00001d002742	GRMZM2G101181	pza00497	NA
Zm00001d002744	GRMZM2G172936	ereb6	AP2-EREBP-transcription factor 6
Zm00001d002747	GRMZM2G028969	ereb185	AP2-EREBP-transcription factor 185
Zm00001d002750	GRMZM2G105137	myb104	MYB-transcription factor 104
Zm00001d002754	GRMZM2G044752	hb53	Homeobox-transcription factor 53
Zm00001d002760	GRMZM2G475678	ereb61	AP2-EREBP-transcription factor 61
Zm00001d002761	GRMZM5G805505	ereb87	AP2-EREBP-transcription factor 87
Zm00001d002762	GRMZM2G055180	ereb198	AP2-EREBP-transcription factor 198
Zm00001d002768	GRMZM2G337229	ole1	oleosin1
Zm00001d002778	GRMZM5G857992	ckb1	CK2 regulatory subunit B1
Zm00001d002781	GRMZM2G019919	rws1	RNA recognition water-stress protein1
Zm00001d002782	GRMZM2G320827	thx32	Trihelix-transcription factor 32
Zm00001d002787	GRMZM2G021044	sdg104	SET domain-containing protein SET104
Zm00001d002790	GRMZM2G077002	gata5	C2C2-GATA-transcription factor 5
Zm00001d002794	GRMZM2G123387	wrky101	WRKY-transcription factor 101
Zm00001d002796	GRMZM2G123373	npi587	NA
Zm00001d002799	GRMZM2G351330	hb66	Homeobox-transcription factor 66
Zm00001d002801	GRMZM2G016649	thx12	Trihelix-transcription factor 12
Zm00001d002806	GRMZM2G131982	dbb2	double B-box zinc finger protein2
Zm00001d002811	GRMZM2G404973	gata11	C2C2-GATA-transcription factor 11
Zm00001d002812	GRMZM2G009208	rmr2	required to maintain repression 2
Zm00001d002815	GRMZM2G109244	TIDP3339	NA
Zm00001d002818	AC234521.1_FG006	tcptf34	TCP-transcription factor 34
Zm00001d002819	GRMZM5G825909	atg13c	autophagy13c
Zm00001d002828	GRMZM2G178998	nactf131	NAC-transcription factor 131
Zm00001d002829	GRMZM2G054795	yab1	C2C2-YABBY-transcription factor 1
Zm00001d002830	GRMZM2G394450	ivr1	invertase1
Zm00001d002842	GRMZM2G122937	remo3	remorin3
Zm00001d002843	GRMZM2G123202	myb54	MYB-transcription factor 54
Zm00001d002844	GRMZM2G153268	limtf6	LIM-transcription factor 6
Zm00001d002867	GRMZM2G026926	ereb154	AP2-EREBP-transcription factor 154
Zm00001d002871	GRMZM2G177812	abcg11	ABC transporter G family member 11
Zm00001d002875	NA	mneap3	Maize Nuclear Envelope-Associated Protein3
Zm00001d002880	GRMZM5G803490	imd2	isopropylmalate dehydrogenase2
Zm00001d002896	GRMZM2G108228	tubtf4	TUB-transcription factor 4
Zm00001d002897	GRMZM2G108219	px14	peroxidase14
Zm00001d002929	GRMZM5G808366	arftf5	ARF-transcription factor 5
Zm00001d002934	AC212859.3_FG008	nactf103	NAC-transcription factor 103
Zm00001d002937	NA	cyp16	cytochrome P450 16
Zm00001d002938	GRMZM2G357972	sdg107	set domain gene107
Zm00001d002941	GRMZM2G127591	magi100893	NA
Zm00001d002945	GRMZM2G176677	ras18A1	ras-related protein18A1
Zm00001d002950	GRMZM2G138125	GRMZM2G138125	NA
Zm00001d002964	GRMZM2G062024	amt4	ammonium transporter4
Zm00001d002970	GRMZM2G021786	sk1	silkless ears1
Zm00001d002971	GRMZM2G021694	GRMZM2G021694	NA
Zm00001d002982	GRMZM2G035688	abph1	aberrant phyllotaxy1
Zm00001d002989	GRMZM2G008792	ckx12	cytokinin oxidase12
Zm00001d002999	GRMZM2G006964	ga2ox2	gibberellin 2-oxidase2
Zm00001d003006	GRMZM2G178693	pip2a	plasma membrane intrinsic protein2
Zm00001d003011	GRMZM2G122614	arftf6	ARF-transcription factor 6
Zm00001d003014	GRMZM2G171372	IDP147	NA
Zm00001d003015	GRMZM2G118345	pal6	phenylalanine ammonia lyase6
Zm00001d003016	GRMZM2G441347	pal2	phenylalanine ammonia lyase2
Zm00001d003024	GRMZM2G118992	TIDP2900	NA
Zm00001d003025	GRMZM2G118950	amt3	ammonium transporter3
Zm00001d003031	GRMZM2G059365	AY104214	NA
Zm00001d003037	GRMZM5G869984	npi607	NA
Zm00001d003052	GRMZM2G081930	nactf36	NAC-transcription factor 36
Zm00001d003062	GRMZM2G048366	umc2247	NA
Zm00001d003064	GRMZM2G048295	myb72	MYB-transcription factor 72
Zm00001d003068	GRMZM2G049541	ppck4	phosphoenolpyruvate carboxylase kinase4
Zm00001d003080	AC208663.3_FG002	nactf34	NAC-transcription factor 34
Zm00001d003081	GRMZM2G150295	grx1	glutaredoxin homolog1
Zm00001d003101	GRMZM2G082191	GRMZM2G082191	NA
Zm00001d003106	GRMZM2G352129	AY103944	NA
Zm00001d003108	GRMZM2G170101	aprt1	adenine phosphoribosyltransferase1
Zm00001d003125	GRMZM2G064467	mgt3	magnesium transporter3
Zm00001d003129	GRMZM2G158083	hct5	hydroxycinnamoyltransferase5
Zm00001d003139	GRMZM2G121256	umc2248	NA
Zm00001d003155	GRMZM2G081689	AY110266	NA
Zm00001d003157	GRMZM2G154397	sam2	S-adenosyl methionine decarboxylase2
Zm00001d003162	GRMZM2G095598	col11	C2C2-CO-like-transcription factor 11
Zm00001d003164	GRMZM2G323679	TIDP3470	NA
Zm00001d003168	GRMZM2G135018	mads27	MADS-transcription factor 27
Zm00001d003172	GRMZM2G178005	pco129934	NA
Zm00001d003176	GRMZM2G031398	nlp3	NLP-transcription factor 3
Zm00001d003180	GRMZM2G112483	bzip121	bZIP-transcription factor 121
Zm00001d003188	GRMZM2G051921	GRMZM2G051921	NA
Zm00001d003190	GRMZM2G051943	cta1	chitinase A1
Zm00001d003195	GRMZM2G018876	dbb1	double B-box zinc finger protein1
Zm00001d003214	GRMZM2G364901	prpo2	protoporphyrinogen IX oxidase2
Zm00001d003226	GRMZM2G021560	pebp25	phosphatidylethanolamine-binding protein25
Zm00001d003247	GRMZM2G102183	mas1	malate synthase1
Zm00001d003249	GRMZM2G112072	GRMZM2G112072	NA
Zm00001d003252	GRMZM2G130230	gpdh1	glucose-6-phosphate dehydrogenase1
Zm00001d003257	GRMZM2G093557	TIDP3431	NA
Zm00001d003258	GRMZM2G100872	hag103a	histone acetyl transferase GNAT/MYST103a
Zm00001d003269	GRMZM2G022255	IDP2407	NA
Zm00001d003277	GRMZM2G047292	aga5	alkaline galactosidase5
Zm00001d003279	GRMZM2G311756	aga6	alkaline galactosidase5
Zm00001d003280	NA	rafs3	raffinose synthase3
Zm00001d003284	GRMZM2G135410	mybr93	MYB-related-transcription factor 93
Zm00001d003287	GRMZM2G163494	nrt4	nitrate transport4
Zm00001d003291	GRMZM2G045005	tgz21	transglutaminase21
Zm00001d003293	GRMZM2G450445	nactf111	NAC-transcription factor 111
Zm00001d003300	GRMZM2G139846	nbr1b	next to brca1b
Zm00001d003301	GRMZM2G139811	GRMZM2G139811	NA
Zm00001d003310	GRMZM2G447691	umc1465	NA
Zm00001d003320	GRMZM2G165836	fcp1	fon2-like cle protein1
Zm00001d003328	GRMZM2G124079	umc1541	NA
Zm00001d003331	GRMZM5G816457	wrky72	WRKY-transcription factor 72
Zm00001d003334	GRMZM2G151418	mlkp1	Maize LINC KASH AtWIP-like1
Zm00001d003347	GRMZM2G330430	ras1	ras related protein1
Zm00001d003369	GRMZM2G050435	mmp167	NA
Zm00001d003377	GRMZM2G179268	stk2	serine-threonine kinase2
Zm00001d003378	GRMZM2G042443	mop1	mediator of paramutation1
Zm00001d003379	GRMZM2G102356	prp2	pathogenesis-related protein2
Zm00001d003380	GRMZM2G107003	cl22897_1a	NA
Zm00001d003395	GRMZM2G325131	ans1	anthranilate synthase homolog1
Zm00001d003398	GRMZM2G094532	fl1	floury endosperm1
Zm00001d003401	GRMZM2G102499	grf1	general regulatory factor1
Zm00001d003409	GRMZM2G032905	mads63	MADS-transcription factor 63
Zm00001d003412	GRMZM2G032655	myb49	MYB-transcription factor 49
Zm00001d003414	GRMZM2G009892	nactf32	NAC-transcription factor 32
Zm00001d003418	GRMZM2G083888	IDP1439	NA
Zm00001d003429	GRMZM2G337113	gpa1	glyceraldehyde-3-phosphate dehydrogenase1
Zm00001d003431	GRMZM2G012328	pme6	pectin methylesterase6
Zm00001d003439	GRMZM2G393762	pme25	pectin methylesterase25
Zm00001d003446	GRMZM2G065073	IDP2449	NA
Zm00001d003451	GRMZM2G044322	eil7	EIL-transcription factor 7
Zm00001d003462	GRMZM2G071714	umc2251	NA
Zm00001d003464	GRMZM2G092107	csu334	NA
Zm00001d003470	GRMZM2G031028	gpm119	NA
Zm00001d003477	GRMZM2G049549	cry2	cryptochrome2
Zm00001d003482	GRMZM2G171296	umc2249	NA
Zm00001d003493	GRMZM2G145758	rpl32	ribosomal protein L32 homolog32
Zm00001d003496	GRMZM2G471039	mybr105	MYB-related-transcription factor 105
Zm00001d003513	GRMZM2G127139	zep1	zeaxanthin epoxidase1
Zm00001d003515	GRMZM2G062559	GRMZM2G062559	NA
Zm00001d003521	GRMZM2G053985	ofp8	OVATE-transcription factor 8
Zm00001d003533	GRMZM2G104843	ts1	tassel seed1
Zm00001d003543	GRMZM2G021319	dek37	defective kernel37
Zm00001d003549	GRMZM2G021831	thx15	Trihelix-transcription factor 15
Zm00001d003553	GRMZM2G028608	gras51	GRAS-transcription factor 51
Zm00001d003559	GRMZM2G068557	fro2	ferric-chelate reductase2
Zm00001d003569	GRMZM2G031331	mlo3	barley mlo defense gene homolog3
Zm00001d003583	GRMZM2G099144	nactf71	NAC-transcription factor 71
Zm00001d003584	GRMZM2G087192	opr5	12-oxo-phytodienoic acid reductase5
Zm00001d003589	GRMZM2G086971	ypt1	ypt homolog1
Zm00001d003590	GRMZM2G005346	AI714808	NA
Zm00001d003600	GRMZM2G151021	bnlg108	NA
Zm00001d003601	GRMZM2G017187	abi17	ABI3-VP1-transcription factor 17
Zm00001d003621	GRMZM2G018223	IDP267	NA
Zm00001d003626	GRMZM2G316840	nactf76	NAC-transcription factor 76
Zm00001d003632	GRMZM2G003565	rcc2	regulator of chromosome condensation2
Zm00001d003645	GRMZM2G089619	zhd15	ZF-HD-transcription factor 15
Zm00001d003648	GRMZM2G357660	umc2030	NA
Zm00001d003654	GRMZM2G113629	pdi10	protein disulfide isomerase10
Zm00001d003657	GRMZM2G420280	gras25	GRAS-transcription factor 25
Zm00001d003659	GRMZM2G155593	snrkII7	SnRK2 serine threonine protein kinase7
Zm00001d003666	GRMZM2G458879	mgt7	magnesium transporter7
Zm00001d003667	GRMZM2G131202	trm3	thioredoxin M3
Zm00001d003675	GRMZM2G391511	IDP1496	NA
Zm00001d003677	GRMZM2G147685	o11	opaque endosperm11
Zm00001d003679	GRMZM2G147619	sdg102	set domain gene102
Zm00001d003709	GRMZM2G368698	invinh4	invertase inhibitor4
Zm00001d003712	GRMZM5G806182	aasr3	abscisic acid stress ripening3
Zm00001d003743	GRMZM2G369742	vq14	VQ motif-transcription factor14
Zm00001d003755	AC214168.3_FG001	e2f17	E2F-DP-transcription factor 217
Zm00001d003757	GRMZM2G136364	IDP2455	NA
Zm00001d003760	GRMZM6G851663	lbp1	lipid binding protein1
Zm00001d003762	GRMZM2G055257	ofp9	OVATE-transcription factor 9
Zm00001d003776	GRMZM2G119689	mn1	miniature seed1
Zm00001d003777	GRMZM2G406026	umc2079	NA
Zm00001d003781	GRMZM5G807267	php10012	NA
Zm00001d003804	GRMZM2G075081	pebp4	phosphatidylethanolamine-binding protein4
Zm00001d003813	GRMZM2G119703	hda102	histone deacetylase
Zm00001d003822	GRMZM2G056929	s1fa1	S1Fa-like-transcription factor 1
Zm00001d003830	GRMZM2G437912	adt6	arogenate dehydratase6
Zm00001d003836	GRMZM2G002978	thx26	Trihelix-transcription factor 26
Zm00001d003857	GRMZM2G134668	clx1	calnexin homolog1
Zm00001d003861	GRMZM2G093826	hak1	potassium high-affinity transporter1
Zm00001d003869	GRMZM2G084462	ipt2	isopentenyl transferase2
Zm00001d003871	GRMZM2G079825	ereb91	AP2-EREBP-transcription factor 91
Zm00001d003877	GRMZM2G022347	IDP496	NA
Zm00001d003878	GRMZM2G023020	phm3457	NA
Zm00001d003884	GRMZM2G087059	ereb131	AP2-EREBP-transcription factor 131
Zm00001d003896	AC196489.3_FG002	rpl12	ribosomal protein L12
Zm00001d003897	GRMZM2G399641	ba2	barren stalk2
Zm00001d003903	GRMZM2G145407	zim33	ZIM-transcription factor 33
Zm00001d003905	GRMZM2G097747	umc2125	NA
Zm00001d003913	GRMZM5G898735	hcf106	high chlorophyll fluorescence106
Zm00001d003939	GRMZM2G358051	Zm00001d003939	NA
Zm00001d003945	GRMZM2G155281	mde1	mouse DNA EBV homolog1
Zm00001d003948	AC235541.1_FG002	umc1454	NA
Zm00001d003949	GRMZM5G826658	GRMZM5G826658	NA
Zm00001d003958	GRMZM2G143205	camta1	CAMTA-transcription factor 1
Zm00001d003964	AC177924.2_FG001	bhlh4	bHLH-transcription factor 4
Zm00001d003974	GRMZM2G024933	umc131	NA
Zm00001d003983	GRMZM5G820733	aldh12	aldehyde dehydrogenase12
